dnovemcinctus	mdomestica	ggallus	xtropicalis	drerio	olatipes	pmarinus	eburgeri	cintestinalis	dmelanogaster	celegans
ENSMUSG00000000001	ENSDNOG00000018361	ENSMODG00000001975	ENSGALG00000041700	ENSXETG00000002003	0	0	0	0	0	0	0
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	ENSDNOG00000003877	ENSMODG00000010162	ENSGALG00000001616	ENSXETG00000018602	ENSDARG00000043720	ENSORLG00000002724	0	ENSEBUG00000003894	0	FBgn0026143	WBGene00009372
ENSMUSG00000000037	ENSDNOG00000002390	ENSMODG00000017144	ENSGALG00000016537	ENSXETG00000001116	ENSDARG00000012949	0	0	0	0	0	0
ENSMUSG00000000049	ENSDNOG00000042232	ENSMODG00000004169	ENSGALG00000033376	ENSXETG00000025262	0	0	0	0	0	0	0
ENSMUSG00000000056	0	ENSMODG00000007135	ENSGALG00000001603	ENSXETG00000012236	ENSDARG00000024184	ENSORLG00000023417	0	ENSEBUG00000010321	0	0	0
ENSMUSG00000000058	0	0	ENSGALG00000033295	ENSXETG00000011570	ENSDARG00000052000	ENSORLG00000027751	0	0	0	0	0
ENSMUSG00000000078	ENSDNOG00000046042	ENSMODG00000006714	ENSGALG00000033178	0	ENSDARG00000029072	0	0	ENSEBUG00000016910	0	0	0
ENSMUSG00000000085	ENSDNOG00000011593	ENSMODG00000017337	ENSGALG00000000672	ENSXETG00000012966	ENSDARG00000104311	ENSORLG00000014213	0	ENSEBUG00000014884	0	0	0
ENSMUSG00000000088	ENSDNOG00000043432	ENSMODG00000028168	ENSGALG00000014121	ENSXETG00000021126	0	0	ENSPMAG00000001654	ENSEBUG00000007464	ENSCING00000015350	FBgn0019624	WBGene00012553
ENSMUSG00000000093	ENSDNOG00000008614	ENSMODG00000014204	ENSGALG00000034297	ENSXETG00000020557	0	0	0	0	0	0	0
ENSMUSG00000000094	ENSDNOG00000035197	ENSMODG00000014216	ENSGALG00000005285	ENSXETG00000010718	ENSDARG00000030058	ENSORLG00000014806	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	ENSDNOG00000043405	ENSMODG00000012200	ENSGALG00000035950	ENSXETG00000018632	0	0	0	0	0	0	0
ENSMUSG00000000125	ENSDNOG00000036708	ENSMODG00000011045	ENSGALG00000001079	0	ENSDARG00000038990	ENSORLG00000012027	ENSPMAG00000007068	ENSEBUG00000014501	0	0	0
ENSMUSG00000000126	ENSDNOG00000007791	ENSMODG00000013820	ENSGALG00000005401	0	ENSDARG00000063437	ENSORLG00000017600	0	0	0	0	0
ENSMUSG00000000127	ENSDNOG00000003611	ENSMODG00000001390	ENSGALG00000000273	ENSXETG00000021270	ENSDARG00000012196	0	0	ENSEBUG00000011540	0	0	0
ENSMUSG00000000131	ENSDNOG00000012449	ENSMODG00000015516	ENSGALG00000035360	ENSXETG00000010326	ENSDARG00000041217	ENSORLG00000011231	ENSPMAG00000003127	ENSEBUG00000015560	ENSCING00000006884	FBgn0266572	0
ENSMUSG00000000134	ENSDNOG00000039173	ENSMODG00000009925	0	ENSXETG00000019114	0	0	0	ENSEBUG00000011649	0	0	0
ENSMUSG00000000142	ENSDNOG00000006538	ENSMODG00000004260	ENSGALG00000039200	0	ENSDARG00000100149	0	0	0	0	0	0
ENSMUSG00000000148	ENSDNOG00000046693	ENSMODG00000000176	ENSGALG00000004348	ENSXETG00000021747	ENSDARG00000062585	ENSORLG00000008847	0	0	0	FBgn0038854	0
ENSMUSG00000000149	0	ENSMODG00000000192	ENSGALG00000049613	0	0	ENSORLG00000008943	ENSPMAG00000005243	0	0	0	0
ENSMUSG00000000154	ENSDNOG00000030650	ENSMODG00000029435	ENSGALG00000006454	0	ENSDARG00000052271	ENSORLG00000000010	0	0	ENSCING00000020986	0	WBGene00008273
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000167	ENSDNOG00000002276	ENSMODG00000014401	ENSGALG00000047403	ENSXETG00000010194	ENSDARG00000014849	ENSORLG00000026101	0	0	ENSCING00000021351	FBgn0035986	0
ENSMUSG00000000168	ENSDNOG00000002250	ENSMODG00000014415	ENSGALG00000007904	ENSXETG00000010198	ENSDARG00000015918	ENSORLG00000021909	0	ENSEBUG00000013449	ENSCING00000009059	FBgn0283658	WBGene00009082
ENSMUSG00000000171	ENSDNOG00000038343	ENSMODG00000014388	ENSGALG00000007878	ENSXETG00000027683	0	ENSORLG00000010127	ENSPMAG00000008877	ENSEBUG00000007618	ENSCING00000009053	FBgn0039112	WBGene00009353
ENSMUSG00000000182	ENSDNOG00000005810	ENSMODG00000018302	ENSGALG00000027791	0	ENSDARG00000045854	ENSORLG00000015823	0	0	0	0	0
ENSMUSG00000000183	ENSDNOG00000015546	ENSMODG00000018301	ENSGALG00000017287	ENSXETG00000005968	0	0	0	ENSEBUG00000003423	0	0	0
ENSMUSG00000000184	ENSDNOG00000012523	ENSMODG00000018312	ENSGALG00000017283	ENSXETG00000005972	0	0	ENSPMAG00000007900	0	0	0	0
ENSMUSG00000000194	ENSDNOG00000004178	ENSMODG00000007041	ENSGALG00000004052	ENSXETG00000001356	ENSDARG00000103200	0	0	ENSEBUG00000004991	0	0	0
ENSMUSG00000000197	ENSDNOG00000018040	ENSMODG00000007346	ENSGALG00000016868	ENSXETG00000024584	ENSDARG00000001835	ENSORLG00000011051	0	ENSEBUG00000012731	ENSCING00000021268	FBgn0002917	0
ENSMUSG00000000202	ENSDNOG00000007091	ENSMODG00000006809	ENSGALG00000023359	0	0	0	0	ENSEBUG00000008748	ENSCING00000008906	FBgn0030330	0
ENSMUSG00000000204	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000214	ENSDNOG00000042052	0	ENSGALG00000029648	ENSXETG00000014030	ENSDARG00000030621	ENSORLG00000018964	ENSPMAG00000000617	ENSEBUG00000012267	ENSCING00000007206	FBgn0005626	WBGene00000296
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	ENSDNOG00000035014	ENSMODG00000006857	ENSGALG00000006270	ENSXETG00000012423	0	0	ENSPMAG00000005039	ENSEBUG00000016606	0	0	0
ENSMUSG00000000223	ENSDNOG00000003393	ENSMODG00000011719	ENSGALG00000005031	ENSXETG00000018175	ENSDARG00000101419	ENSORLG00000001478	ENSPMAG00000004410	0	0	0	0
ENSMUSG00000000244	0	0	ENSGALG00000054379	0	0	0	0	0	0	0	0
ENSMUSG00000000247	ENSDNOG00000000465	ENSMODG00000019739	ENSGALG00000001124	ENSXETG00000020776	ENSDARG00000031222	ENSORLG00000016465	0	ENSEBUG00000002701	0	0	0
ENSMUSG00000000248	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	ENSDNOG00000023950	ENSMODG00000010820	ENSGALG00000012705	ENSXETG00000014183	ENSDARG00000016160	ENSORLG00000013044	ENSPMAG00000000720	0	ENSCING00000006633	0	WBGene00017984
ENSMUSG00000000263	ENSDNOG00000012718	ENSMODG00000008959	ENSGALG00000004134	ENSXETG00000001966	ENSDARG00000012019	ENSORLG00000011468	0	0	0	0	0
ENSMUSG00000000266	ENSDNOG00000018747	ENSMODG00000011644	ENSGALG00000003860	0	ENSDARG00000034871	ENSORLG00000002994	0	0	0	0	0
ENSMUSG00000000275	ENSDNOG00000035232	ENSMODG00000014814	ENSGALG00000003144	ENSXETG00000032524	0	0	0	0	0	0	0
ENSMUSG00000000276	ENSDNOG00000004846	ENSMODG00000014818	ENSGALG00000003131	ENSXETG00000001324	ENSDARG00000104793	ENSORLG00000001839	0	0	0	0	0
ENSMUSG00000000278	ENSDNOG00000025504	0	ENSGALG00000003185	ENSXETG00000020061	ENSDARG00000040072	ENSORLG00000017266	ENSPMAG00000005784	ENSEBUG00000003326	ENSCING00000008939	0	0
ENSMUSG00000000282	ENSDNOG00000040019	ENSMODG00000010713	ENSGALG00000005830	ENSXETG00000019434	0	0	ENSPMAG00000004458	ENSEBUG00000016526	0	0	0
ENSMUSG00000000290	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000295	ENSDNOG00000001095	ENSMODG00000017712	ENSGALG00000014841	ENSXETG00000021843	ENSDARG00000034957	ENSORLG00000017039	ENSPMAG00000002105	ENSEBUG00000013062	ENSCING00000006407	FBgn0031836	WBGene00018481
ENSMUSG00000000296	ENSDNOG00000042158	ENSMODG00000017714	ENSGALG00000014843	ENSXETG00000021842	ENSDARG00000042548	ENSORLG00000017052	0	ENSEBUG00000012328	0	0	0
ENSMUSG00000000301	ENSDNOG00000037074	ENSMODG00000004778	ENSGALG00000004875	ENSXETG00000005734	ENSDARG00000103614	0	0	0	0	0	0
ENSMUSG00000000303	ENSDNOG00000014570	ENSMODG00000003256	ENSGALG00000000608	ENSXETG00000016379	ENSDARG00000058546	0	ENSPMAG00000003266	ENSEBUG00000004333	ENSCING00000006530	0	0
ENSMUSG00000000305	ENSDNOG00000030847	ENSMODG00000016675	ENSGALG00000005102	ENSXETG00000001990	ENSDARG00000015002	0	0	0	0	0	0
ENSMUSG00000000308	ENSDNOG00000045635	ENSMODG00000017776	ENSGALG00000008352	ENSXETG00000027612	ENSDARG00000016598	ENSORLG00000001451	0	0	0	0	0
ENSMUSG00000000317	ENSDNOG00000035586	ENSMODG00000006161	0	0	ENSDARG00000069335	ENSORLG00000006659	0	ENSEBUG00000008366	0	0	0
ENSMUSG00000000318	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000320	ENSDNOG00000015512	0	0	0	ENSDARG00000069463	ENSORLG00000010331	ENSPMAG00000008737	ENSEBUG00000003551	0	0	0
ENSMUSG00000000325	ENSDNOG00000007092	ENSMODG00000029074	ENSGALG00000043373	ENSXETG00000006316	0	0	0	ENSEBUG00000006983	0	0	0
ENSMUSG00000000326	ENSDNOG00000007084	ENSMODG00000019644	ENSGALG00000002024	0	0	ENSORLG00000014228	0	0	0	0	0
ENSMUSG00000000339	ENSDNOG00000000456	ENSMODG00000003557	ENSGALG00000005277	ENSXETG00000031661	ENSDARG00000002215	ENSORLG00000013605	ENSPMAG00000009110	ENSEBUG00000008556	ENSCING00000007875	FBgn0025630	0
ENSMUSG00000000340	0	ENSMODG00000003588	ENSGALG00000005280	ENSXETG00000013210	ENSDARG00000101561	ENSORLG00000003352	0	ENSEBUG00000006726	ENSCING00000001708	FBgn0030612	WBGene00014054
ENSMUSG00000000346	ENSDNOG00000040311	0	ENSGALG00000053575	ENSXETG00000025161	ENSDARG00000007867	ENSORLG00000015553	0	ENSEBUG00000008111	ENSCING00000020878	FBgn0083961	0
ENSMUSG00000000355	ENSDNOG00000046770	ENSMODG00000010354	ENSGALG00000008517	0	0	0	0	0	0	0	0
ENSMUSG00000000359	ENSDNOG00000001354	ENSMODG00000019500	ENSGALG00000045602	ENSXETG00000024013	0	0	0	0	0	0	0
ENSMUSG00000000365	ENSDNOG00000006115	ENSMODG00000007827	ENSGALG00000045414	ENSXETG00000034020	ENSDARG00000056387	ENSORLG00000012818	0	0	0	0	WBGene00012684
ENSMUSG00000000374	ENSDNOG00000012294	ENSMODG00000021039	ENSGALG00000022804	ENSXETG00000018000	ENSDARG00000098118	ENSORLG00000010325	ENSPMAG00000006472	0	ENSCING00000014770	FBgn0038303	WBGene00022138
ENSMUSG00000000378	ENSDNOG00000043615	ENSMODG00000010607	ENSGALG00000005612	ENSXETG00000033356	ENSDARG00000013705	ENSORLG00000016421	ENSPMAG00000000946	ENSEBUG00000002024	0	0	0
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	ENSDNOG00000008066	ENSMODG00000010568	ENSGALG00000038102	ENSXETG00000023866	ENSDARG00000074807	ENSORLG00000008558	ENSPMAG00000000723	ENSEBUG00000010150	0	0	0
ENSMUSG00000000385	ENSDNOG00000047414	ENSMODG00000020961	ENSGALG00000016144	0	ENSDARG00000098686	0	0	ENSEBUG00000010547	0	0	0
ENSMUSG00000000386	0	0	0	0	0	0	0	0	0	0	0
