ensembl_transcript_id	ensembl_gene_id	cds_length	gene_biotype	external_gene_name	ensembl_peptide_id_version
ENSMUST00000000001	ENSMUSG00000000001	1065	protein_coding	Gnai3	ENSMUSP00000000001.4
ENSMUST00000000003	ENSMUSG00000000003	525	protein_coding	Pbsn	ENSMUSP00000000003.7
ENSMUST00000000028	ENSMUSG00000000028	1701	protein_coding	Cdc45	ENSMUSP00000000028.7
ENSMUST00000077375	ENSMUSG00000000037	2910	protein_coding	Scml2	ENSMUSP00000076593.4
ENSMUST00000000049	ENSMUSG00000000049	1038	protein_coding	Apoh	ENSMUSP00000000049.5
ENSMUST00000103015	ENSMUSG00000000056	1389	protein_coding	Narf	ENSMUSP00000099304.3
ENSMUST00000000058	ENSMUSG00000000058	489	protein_coding	Cav2	ENSMUSP00000000058.6
ENSMUST00000000080	ENSMUSG00000000078	957	protein_coding	Klf6	ENSMUSP00000000080.6
ENSMUST00000106301	ENSMUSG00000000085	2121	protein_coding	Scmh1	ENSMUSP00000101908.1
ENSMUST00000000090	ENSMUSG00000000088	441	protein_coding	Cox5a	ENSMUSP00000000090.6
ENSMUST00000000095	ENSMUSG00000000093	2136	protein_coding	Tbx2	ENSMUSP00000000095.6
ENSMUST00000108047	ENSMUSG00000000094	1659	protein_coding	Tbx4	ENSMUSP00000103682.1
ENSMUST00000187148	ENSMUSG00000000103	2334	protein_coding	Zfy2	ENSMUSP00000139591.1
ENSMUST00000000122	ENSMUSG00000000120	1284	protein_coding	Ngfr	ENSMUSP00000000122.6
ENSMUST00000000127	ENSMUSG00000000125	1068	protein_coding	Wnt3	ENSMUSP00000000127.5
ENSMUST00000000128	ENSMUSG00000000126	1098	protein_coding	Wnt9a	ENSMUSP00000000128.3
ENSMUST00000000129	ENSMUSG00000000127	2472	protein_coding	Fer	ENSMUSP00000000129.6
ENSMUST00000168189	ENSMUSG00000000131	3378	protein_coding	Xpo6	ENSMUSP00000130527.1
ENSMUST00000077680	ENSMUSG00000000134	1719	protein_coding	Tfe3	ENSMUSP00000076864.3
ENSMUST00000052915	ENSMUSG00000000142	2523	protein_coding	Axin2	ENSMUSP00000051331.7
ENSMUST00000100505	ENSMUSG00000000148	2604	protein_coding	Brat1	ENSMUSP00000098074.2
ENSMUST00000000153	ENSMUSG00000000149	1140	protein_coding	Gna12	ENSMUSP00000000153.4
ENSMUST00000052348	ENSMUSG00000000154	1233	protein_coding	Slc22a18	ENSMUSP00000056082.5
ENSMUST00000113773	ENSMUSG00000000157	2388	protein_coding	Itgb2l	ENSMUSP00000109403.1
ENSMUST00000113794	ENSMUSG00000000159	1119	protein_coding	Igsf5	ENSMUSP00000109425.1
ENSMUST00000000171	ENSMUSG00000000167	948	protein_coding	Pih1d2	ENSMUSP00000000171.8
ENSMUST00000034567	ENSMUSG00000000168	1929	protein_coding	Dlat	ENSMUSP00000034567.3
ENSMUST00000000175	ENSMUSG00000000171	480	protein_coding	Sdhd	ENSMUSP00000000175.4
ENSMUST00000000186	ENSMUSG00000000182	756	protein_coding	Fgf23	ENSMUSP00000000186.6
ENSMUST00000000187	ENSMUSG00000000183	627	protein_coding	Fgf6	ENSMUSP00000000187.5
ENSMUST00000000188	ENSMUSG00000000184	870	protein_coding	Ccnd2	ENSMUSP00000000188.8
ENSMUST00000056433	ENSMUSG00000000194	1656	protein_coding	Gpr107	ENSMUSP00000056739.5
ENSMUST00000000201	ENSMUSG00000000197	5220	protein_coding	Nalcn	ENSMUSP00000000201.5
ENSMUST00000000206	ENSMUSG00000000202	1437	protein_coding	Btbd17	ENSMUSP00000000206.3
ENSMUST00000000208	ENSMUSG00000000204	1809	protein_coding	Slfn4	ENSMUSP00000000208.5
ENSMUST00000000219	ENSMUSG00000000214	1497	protein_coding	Th	ENSMUSP00000000219.3
ENSMUST00000105934	ENSMUSG00000000215	333	protein_coding	Ins2	ENSMUSP00000101554.1
ENSMUST00000000221	ENSMUSG00000000216	1968	protein_coding	Scnn1g	ENSMUSP00000000221.5
ENSMUST00000113224	ENSMUSG00000000223	2946	protein_coding	Drp2	ENSMUSP00000108850.2
ENSMUST00000009396	ENSMUSG00000000244	771	protein_coding	Tspan32	ENSMUSP00000009396.6
ENSMUST00000000253	ENSMUSG00000000247	1221	protein_coding	Lhx2	ENSMUSP00000000253.5
ENSMUST00000000254	ENSMUSG00000000248	810	protein_coding	Clec2g	ENSMUSP00000000254.7
ENSMUST00000000260	ENSMUSG00000000253	1038	protein_coding	Gmpr	ENSMUSP00000000260.5
ENSMUST00000075603	ENSMUSG00000000263	1374	protein_coding	Glra1	ENSMUSP00000075032.4
ENSMUST00000112988	ENSMUSG00000000266	2148	protein_coding	Mid2	ENSMUSP00000108612.1
ENSMUST00000107896	ENSMUSG00000000275	1905	protein_coding	Trim25	ENSMUSP00000103528.3
ENSMUST00000107894	ENSMUSG00000000276	1695	protein_coding	Dgke	ENSMUSP00000103526.1
ENSMUST00000000287	ENSMUSG00000000278	1359	protein_coding	Scpep1	ENSMUSP00000000287.8
ENSMUST00000000291	ENSMUSG00000000282	1776	protein_coding	Mnt	ENSMUSP00000000291.2
ENSMUST00000000299	ENSMUSG00000000290	2313	protein_coding	Itgb2	ENSMUSP00000000299.7
ENSMUST00000000304	ENSMUSG00000000295	600	protein_coding	Hddc2	ENSMUSP00000000304.6
ENSMUST00000213528	ENSMUSG00000000296	630	protein_coding	Tpd52l1	ENSMUSP00000149177.1
ENSMUST00000102693	ENSMUSG00000000301	711	protein_coding	Pemt	ENSMUSP00000099754.2
