transcript_length	ensembl_peptide_id_version	external_gene_name	gene_biotype
ENSMUSG00000000001	3262	ENSMUSP00000000001.4	Gnai3	protein_coding
ENSMUSG00000000003	902	ENSMUSP00000000003.7	Pbsn	protein_coding
ENSMUSG00000000028	2143	ENSMUSP00000000028.7	Cdc45	protein_coding
ENSMUSG00000000037	4847	ENSMUSP00000107964.1	Scml2	protein_coding
ENSMUSG00000000049	1190	ENSMUSP00000000049.5	Apoh	protein_coding
ENSMUSG00000000056	4395	ENSMUSP00000099304.3	Narf	protein_coding
ENSMUSG00000000058	2733	ENSMUSP00000000058.6	Cav2	protein_coding
ENSMUSG00000000078	4225	ENSMUSP00000000080.6	Klf6	protein_coding
ENSMUSG00000000085	3353	ENSMUSP00000000087.6	Scmh1	protein_coding
ENSMUSG00000000088	645	ENSMUSP00000000090.6	Cox5a	protein_coding
ENSMUSG00000000093	3626	ENSMUSP00000000095.6	Tbx2	protein_coding
ENSMUSG00000000094	3153	ENSMUSP00000103682.1	Tbx4	protein_coding
ENSMUSG00000000103	2846	ENSMUSP00000139591.1	Zfy2	protein_coding
ENSMUSG00000000120	3446	ENSMUSP00000000122.6	Ngfr	protein_coding
ENSMUSG00000000125	3076	ENSMUSP00000000127.5	Wnt3	protein_coding
ENSMUSG00000000126	3320	ENSMUSP00000000128.3	Wnt9a	protein_coding
ENSMUSG00000000127	2973	ENSMUSP00000000129.6	Fer	protein_coding
ENSMUSG00000000131	4552	ENSMUSP00000130527.1	Xpo6	protein_coding
ENSMUSG00000000134	3390	ENSMUSP00000134125.1	Tfe3	protein_coding
ENSMUSG00000000142	4260	ENSMUSP00000051331.7	Axin2	protein_coding
ENSMUSG00000000148	3854	ENSMUSP00000106429.1	Brat1	protein_coding
ENSMUSG00000000149	3416	ENSMUSP00000000153.4	Gna12	protein_coding
ENSMUSG00000000154	1552	ENSMUSP00000101537.2	Slc22a18	protein_coding
ENSMUSG00000000157	2806	ENSMUSP00000109403.1	Itgb2l	protein_coding
ENSMUSG00000000159	1851	ENSMUSP00000000163.6	Igsf5	protein_coding
ENSMUSG00000000167	1256	ENSMUSP00000000171.8	Pih1d2	protein_coding
ENSMUSG00000000168	4035	ENSMUSP00000034567.3	Dlat	protein_coding
ENSMUSG00000000171	1231	ENSMUSP00000000175.4	Sdhd	protein_coding
ENSMUSG00000000182	1814	ENSMUSP00000000186.6	Fgf23	protein_coding
ENSMUSG00000000183	4657	ENSMUSP00000000187.5	Fgf6	protein_coding
ENSMUSG00000000184	6330	ENSMUSP00000000188.8	Ccnd2	protein_coding
ENSMUSG00000000194	6134	ENSMUSP00000056739.5	Gpr107	protein_coding
ENSMUSG00000000197	7122	ENSMUSP00000000201.5	Nalcn	protein_coding
ENSMUSG00000000202	1717	ENSMUSP00000000206.3	Btbd17	protein_coding
ENSMUSG00000000204	3958	ENSMUSP00000000208.5	Slfn4	protein_coding
ENSMUSG00000000214	1950	ENSMUSP00000101549.3	Th	protein_coding
ENSMUSG00000000215	918	ENSMUSP00000147425.1	Ins2	protein_coding
ENSMUSG00000000216	2991	ENSMUSP00000000221.5	Scnn1g	protein_coding
ENSMUSG00000000223	7135	ENSMUSP00000115246.1	Drp2	protein_coding
ENSMUSG00000000244	1876	ENSMUSP00000074667.5	Tspan32	protein_coding
ENSMUSG00000000247	2840	ENSMUSP00000000253.5	Lhx2	protein_coding
ENSMUSG00000000248	2463	ENSMUSP00000000254.7	Clec2g	protein_coding
ENSMUSG00000000253	1580	ENSMUSP00000000260.5	Gmpr	protein_coding
ENSMUSG00000000263	2390	ENSMUSP00000099777.3	Glra1	protein_coding
ENSMUSG00000000266	6271	ENSMUSP00000108614.1	Mid2	protein_coding
ENSMUSG00000000275	5590	ENSMUSP00000103528.3	Trim25	protein_coding
ENSMUSG00000000276	8347	ENSMUSP00000103526.1	Dgke	protein_coding
ENSMUSG00000000278	2097	ENSMUSP00000000287.8	Scpep1	protein_coding
ENSMUSG00000000282	4590	ENSMUSP00000000291.2	Mnt	protein_coding
ENSMUSG00000000290	2970	ENSMUSP00000000299.7	Itgb2	protein_coding
ENSMUSG00000000295	858	ENSMUSP00000000304.6	Hddc2	protein_coding
ENSMUSG00000000296	1308	ENSMUSP00000000305.5	Tpd52l1	protein_coding
ENSMUSG00000000301	1003	ENSMUSP00000099753.3	Pemt	protein_coding
ENSMUSG00000000303	4430	ENSMUSP00000000312.5	Cdh1	protein_coding
ENSMUSG00000000305	6388	ENSMUSP00000000314.6	Cdh4	protein_coding
ENSMUSG00000000308	1620	ENSMUSP00000000317.5	Ckmt1	protein_coding
ENSMUSG00000000317	3366	ENSMUSP00000000326.5	Bcl6b	protein_coding
ENSMUSG00000000318	2332	ENSMUSP00000137447.1	Clec10a	protein_coding
ENSMUSG00000000320	3001	ENSMUSP00000000329.2	Alox12	protein_coding
ENSMUSG00000000325	4698	ENSMUSP00000111278.2	Arvcf	protein_coding
ENSMUSG00000000326	1978	ENSMUSP00000130077.1	Comt	protein_coding
ENSMUSG00000000339	1594	ENSMUSP00000000348.8	Rtca	protein_coding
ENSMUSG00000000340	3301	ENSMUSP00000000349.6	Dbt	protein_coding
ENSMUSG00000000346	2135	ENSMUSP00000000356.8	Dazap2	protein_coding
ENSMUSG00000000355	783	ENSMUSP00000000365.2	Mcts1	protein_coding
ENSMUSG00000000359	1663	ENSMUSP00000000369.3	Rem1	protein_coding
ENSMUSG00000000365	5264	ENSMUSP00000093469.1	Rnf17	protein_coding
ENSMUSG00000000374	5047	ENSMUSP00000000384.6	Trappc10	protein_coding
ENSMUSG00000000378	1858	ENSMUSP00000000388.8	Ccm2	protein_coding
ENSMUSG00000000381	551	ENSMUSP00000099974.3	Wap	protein_coding
ENSMUSG00000000384	2347	ENSMUSP00000140835.1	Tbrg4	protein_coding
ENSMUSG00000000385	3161	ENSMUSP00000000395.6	Tmprss2	protein_coding
ENSMUSG00000000386	3385	ENSMUSP00000023655.6	Mx1	protein_coding
ENSMUSG00000000392	2751	ENSMUSP00000099793.3	Fap	protein_coding
ENSMUSG00000000394	1088	ENSMUSP00000099794.3	Gcg	protein_coding
ENSMUSG00000000399	1445	ENSMUSP00000144904.1	Ndufa9	protein_coding
ENSMUSG00000000402	2704	ENSMUSP00000000412.2	Egfl6	protein_coding
ENSMUSG00000000409	2185	ENSMUSP00000066209.4	Lck	protein_coding
ENSMUSG00000000411	1280	ENSMUSP00000000421.5	Tssk3	protein_coding
ENSMUSG00000000416	5462	ENSMUSP00000118432.1	Cttnbp2	protein_coding
ENSMUSG00000000420	4108	ENSMUSP00000132142.1	Galnt1	protein_coding
ENSMUSG00000000435	2083	ENSMUSP00000000445.1	Myf5	protein_coding
ENSMUSG00000000439	6230	ENSMUSP00000000449.7	Mkrn2	protein_coding
ENSMUSG00000000440	2125	ENSMUSP00000131962.1	Pparg	protein_coding
ENSMUSG00000000441	3070	ENSMUSP00000000451.7	Raf1	protein_coding
ENSMUSG00000000486	1486	ENSMUSP00000101921.1	Sept1	protein_coding
ENSMUSG00000000489	2944	ENSMUSP00000000500.6	Pdgfb	protein_coding
ENSMUSG00000000530	3640	ENSMUSP00000000542.7	Acvrl1	protein_coding
